"id","il","ilce","isim"
"1250","01 ADANA","Merkez","Adana İhtisas Vergi Dairesi Müdürlüğü"
"1251","01 ADANA","Merkez","5 Ocak Vergi Dairesi Müdürlüğü"
"1252","01 ADANA","Merkez","Yüreğir Vergi Dairesi Müdürlüğü"
"1253","01 ADANA","Merkez","Seyhan Vergi Dairesi Müdürlüğü"
"1254","01 ADANA","Merkez","Ziyapaşa Vergi Dairesi Müdürlüğü"
"1255","01 ADANA","Merkez","Çukurova Vergi Dairesi Müdürlüğü"
"1201","01 ADANA","Ceyhan","Ceyhan Vergi Dairesi Müdürlüğü"
"1203","01 ADANA","Kozan","Kozan Vergi Dairesi Müdürlüğü"
"1205","01 ADANA","Karataş","Karataş Vergi Dairesi Müdürlüğü"
"1103","01 ADANA","Feke","Feke Malmüdürlüğü"
"1105","01 ADANA","Karaisalı","Karaisalı Malmüdürlüğü"
"1109","01 ADANA","Pozantı","Pozantı Malmüdürlüğü"
"1110","01 ADANA","Saimbeyli","Saimbeyli Malmüdürlüğü"
"1111","01 ADANA","Tufanbeyli","Tufanbeyli Malmüdürlüğü"
"1112","01 ADANA","Yumurtalık","Yumurtalık Malmüdürlüğü"
"1114","01 ADANA","Aladağ","Aladağ Malmüdürlüğü"
"1115","01 ADANA","İmamoğlu","İmamoğlu Malmüdürlüğü"
"2260","02 ADIYAMAN","Merkez","Adıyaman Vergi Dairesi Müdürlüğü"
"2261","02 ADIYAMAN","Kahta","Kahta Vergi Dairesi Müdürlüğü"
"2101","02 ADIYAMAN","Besni","Besni Malmüdürlüğü"
"2102","02 ADIYAMAN","Çelikhan","Çelikhan Malmüdürlüğü"
"2103","02 ADIYAMAN","Gerger","Gerger Malmüdürlüğü"
"2104","02 ADIYAMAN","Gölbaşı","Gölbaşı Malmüdürlüğü"
"2106","02 ADIYAMAN","Samsat","Samsat Malmüdürlüğü"
"2107","02 ADIYAMAN","Sincik","Sincik Malmüdürlüğü"
"2108","02 ADIYAMAN","Tut","Tut Malmüdürlüğü"
"3201","03 AFYONKARAHİSAR","Merkez","Tınaztepe Vergi Dairesi Müdürlüğü"
"3280","03 AFYONKARAHİSAR","Merkez","Kocatepe Vergi Dairesi Müdürlüğü"
"3260","03 AFYONKARAHİSAR","Dinar","Dinar Vergi Dairesi Müdürlüğü"
"3261","03 AFYONKARAHİSAR","Bolvadin","Bolvadin Vergi Dairesi Müdürlüğü"
"3262","03 AFYONKARAHİSAR","Emirdağ","Emirdağ Vergi Dairesi Müdürlüğü"
"3263","03 AFYONKARAHİSAR","Sandıklı","Sandıklı Vergi Dairesi Müdürlüğü"
"3264","03 AFYONKARAHİSAR","İscehisar","İscehisar Vergi Dairesi Müdürlüğü"
"3202","03 AFYONKARAHİSAR","Çay","Çay Vergi Dairesi Müdürlüğü"
"3103","03 AFYONKARAHİSAR","Dazkırı","Dazkırı Malmüdürlüğü"
"3105","03 AFYONKARAHİSAR","İhsaniye","İhsaniye Malmüdürlüğü"
"3107","03 AFYONKARAHİSAR","Sinanpaşa","Sinanpaşa Malmüdürlüğü"
"3108","03 AFYONKARAHİSAR","Sultandağı","Sultandağı Malmüdürlüğü"
"3109","03 AFYONKARAHİSAR","Şuhut","Şuhut Malmüdürlüğü"
"3111","03 AFYONKARAHİSAR","Başmakçı","Başmakçı Malmüdürlüğü"
"3112","03 AFYONKARAHİSAR","Bayat","Bayat Malmüdürlüğü"
"3114","03 AFYONKARAHİSAR","Çobanlar","Çobanlar Malmüdürlüğü"
"3115","03 AFYONKARAHİSAR","Evciler","Evciler Malmüdürlüğü"
"3116","03 AFYONKARAHİSAR","Hocalar","Hocalar Malmüdürlüğü"
"3117","03 AFYONKARAHİSAR","Kızılören","Kızılören Malmüdürlüğü"
"4260","04 AĞRI","Merkez","Ağrı Vergi Dairesi Müdürlüğü"
"4261","04 AĞRI","Doğubeyazıt","Doğubeyazıt Vergi Dairesi Müdürlüğü"
"4262","04 AĞRI","Patnos","Patnos Vergi Dairesi Müdürlüğü"
"4101","04 AĞRI","Diyadin","Diyadin Malmüdürlüğü"
"4103","04 AĞRI","Eleşkirt","Eleşkirt Malmüdürlüğü"
"4104","04 AĞRI","Hamur","Hamur Malmüdürlüğü"
"4106","04 AĞRI","Taşlıçay","Taşlıçay Malmüdürlüğü"
"4107","04 AĞRI","Tutak","Tutak Malmüdürlüğü"
"5260","05 AMASYA","Merkez","Amasya Vergi Dairesi Müdürlüğü"
"5261","05 AMASYA","Merzifon","Merzifon Vergi Dairesi Müdürlüğü"
"5262","05 AMASYA","Gümüşhacıköy","Gümüşhacıköy Vergi Dairesi Müdürlüğü"
"5263","05 AMASYA","Taşova","Taşova Vergi Dairesi Müdürlüğü"
"5264","05 AMASYA","Suluova","Suluova Vergi Dairesi Müdürlüğü"
"5101","05 AMASYA","Göynücek","Göynücek Malmüdürlüğü"
"5106","05 AMASYA","Hamamözü","Hamamözü Malmüdürlüğü"
"6280","06 ANKARA","Merkez","Anadolu İhtisas Vergi Dairesi Müdürlüğü"
"6281","06 ANKARA","Merkez","Ankara İhtisas Vergi Dairesi Müdürlüğü"
"6252","06 ANKARA","Merkez","Veraset ve Harçlar Vergi Dairesi Müdürlüğü"
"6253","06 ANKARA","Merkez","Kavaklıdere Vergi Dairesi Müdürlüğü"
"6254","06 ANKARA","Merkez","Maltepe Vergi Dairesi Müdürlüğü"
"6255","06 ANKARA","Merkez","Yenimahalle Vergi Dairesi Müdürlüğü"
"6257","06 ANKARA","Merkez","Çankaya Vergi Dairesi Müdürlüğü"
"6258","06 ANKARA","Merkez","Kızılbey Vergi Dairesi Müdürlüğü"
"6259","06 ANKARA","Merkez","Mithatpaşa Vergi Dairesi Müdürlüğü"
"6260","06 ANKARA","Merkez","Ulus Vergi Dairesi Müdürlüğü"
"6261","06 ANKARA","Merkez","Yıldırım Beyazıt Vergi Dairesi Müdürlüğü"
"6262","06 ANKARA","Merkez","Seğmenler Vergi Dairesi Müdürlüğü"
"6264","06 ANKARA","Merkez","Dikimevi Vergi Dairesi Müdürlüğü"
"6265","06 ANKARA","Merkez","Doğanbey Vergi Dairesi Müdürlüğü"
"6266","06 ANKARA","Merkez","Yeğenbey Vergi Dairesi Müdürlüğü"
"6268","06 ANKARA","Merkez","Hitit Vergi Dairesi Müdürlüğü"
"6269","06 ANKARA","Merkez","Yahya Galip Vergi Dairesi Müdürlüğü"
"6270","06 ANKARA","Merkez","Muhammet Karagüzel Vergi Dairesi Müdürlüğü"
"6271","06 ANKARA","Merkez","Ostim Vergi Dairesi Müdürlüğü"
"6272","06 ANKARA","Merkez","Gölbaşı Vergi Dairesi Müdürlüğü"
"6273","06 ANKARA","Merkez","Sincan Vergi Dairesi Müdürlüğü"
"6274","06 ANKARA","Merkez","Dışkapı Vergi Dairesi Müdürlüğü"
"6275","06 ANKARA","Merkez","Etimesgut Vergi Dairesi Müdürlüğü"
"6276","06 ANKARA","Merkez","Başkent Vergi Dairesi Müdürlüğü"
"6277","06 ANKARA","Merkez","Cumhuriyet Vergi Dairesi Müdürlüğü"
"6278","06 ANKARA","Merkez","Keçiören Vergi Dairesi Müdürlüğü"
"6279","06 ANKARA","Merkez- (5216)","Kahramankazan Vergi Dairesi Müdürlüğü"
"6205","06 ANKARA","Polatlı","Polatlı Vergi Dairesi Müdürlüğü"
"6207","06 ANKARA","Şereflikoçhisar","Şereflikoçhisar Vergi Dairesi Müdürlüğü"
